id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
14685,8692,Black Crypt,NULL,1992-03-02 00:00:00.000,2,NULL,NULL,NULL,NULL,NULL
15364,47236,Bod Squad,NULL,1992-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
15375,8883,"Hugo III, Jungle of Doom!",NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
15446,14325,Blowout & Cosmic Alphabet,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
15477,49037,Mouse Trap Hotel,NULL,1992-11-01 00:00:00.000,NULL,NULL,NULL,NULL,43.0000,0
15535,44383,Oozumou Tamashii,NULL,1992-12-11 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
15683,50337,Jill of the Jungle: Jill Saves the Prince,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
15705,79976,Ghost Manor,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
15775,50338,Jill of the Jungle: Jill Goes Underground,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
15821,14596,Alien Breed: Special Edition 92,"2191 .. and the galaxy stands unwittingly on the brink of war. 
 
The colonisation, it happened so fast, first the breakthroughs, initial tentative steps and finally the stampede. People rushing from the smog ridden, claustrophobic earth bases to the freedom and promise of the enterprising stellar colonies. 
 
But the dawn of widespread and economical space travel brought with it new legacies, new crimes and a new era of greed. As tension inevitably spiralled, the Interplanetary Corps were born as a peace-keeping force. 
 
Johnson and Stone were crack members of an elite IPC patrol unit, returning back to Federation HQ after a six month spell in the outer spiral arm, nothing had troubled them, but nothing usually did in such a remote section of the galaxy, they were relieved to be going home. 
 
Then came the orders to check out a distant space station in the Intex network. ISRC-4 had ceased transmitting on all Federation wavelengths. It could be a magnetic storm or another fickle revolt against authority. Whatever it was, they were ordered in. 
 
Stone logged the stations co-ordinates into Miraculous's navcomp and initiated the engines for the small ion-drive. The craft's engines shuddered as it picked up the pace and within a couple of hours they were in orbit around the gas-giant Gianor, where the station was located. 
 
Johnson and Stone shrugged their shoulders, everything looked fine, sure things seemed a little quiet, but there was evidence of magnetic activity. Miraculous fired her retros and began her approach into one of the stations three landing bays. They were going in.",1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
16199,44306,Super Raiden,NULL,1992-04-02 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
16206,8026,Tom & Jerry,NULL,1992-10-01 00:00:00.000,NULL,NULL,NULL,NULL,38.0000,4
16249,41698,Pumpkin Adventure,NULL,1992-04-05 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
16284,50335,Mario Teaches Typing,"Mario and Luigi were walking by Bowser's Castle one day when they come across the Magical Typewriter floating in the air. Curious, Mario attempts to type on it. However, he proves to be a terrible typist. Before Mario can go on any further, the Magical Typewriter explodes. In place of the typewriter is a scroll, which is also floating in the air. Mario takes the typewriter and sees a picture of three pieces of the Magical Typewriter. Mario and Luigi decide to recover all of the pieces and improve Mario's typing skills.",1992-03-08 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
16671,37653,Mizbak's Adventure,NULL,1992-02-17 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
16696,7736,Might and Magic IV: Clouds of Xeen,NULL,1992-12-31 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
16730,10193,Triple Score: 3 Games in 1,NULL,1992-10-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
17185,49043,The New Chessmaster,NULL,1992-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
17444,3652,Arcana,NULL,1992-03-27 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
17577,46155,Combat Aces,NULL,1992-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
17681,94193,Overtake,NULL,1992-11-13 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
17731,144413,Sonic Blast Man,NULL,1992-09-25 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
17831,12558,Cyberblast,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
18253,10220,Shinobi II: The Silent Fury,NULL,1992-12-11 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
18559,47510,Frantic,NULL,1992-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
18587,2467,Darklands,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,80.0000,3
18851,42479,NHLPA Hockey 93,NULL,1992-09-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
19262,48696,Don Doko Don 2,NULL,1992-03-02 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
19804,40519,Ultraman Club: Tatakae! Ultraman Kyoudai!!,NULL,1992-06-07 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
19891,48114,Little Samson,NULL,1992-06-26 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
